TestID,SortedArray,TimeComplexity(ns),SpaceComplexity(bytes),ArraySize,ArrayType,TestPassed,Exception
TC_1,"['teuyz', 'ekdla', 'ioiej', 'pllda', 'unsgc', 'virjp', 'mbwje', 'uacdu', 'mteru', 'rlpgs', 'auopm', 'bkuzh', 'bkcgc', 'nffic', 'akhvc', 'dneqw', 'nyrmu', 'olpfx', 'rscby', 'xcppq', 'eegtu', 'gxrex', 'obzau', 'tfaxv', 'sqctg', 'kezfo', 'nsyfg', 'zpzna', 'wglru', 'thxuy', 'hlcws', 'kpwyu', 'yucnh', 'mapla', 'cwgeq', 'qoiqq', 'lykjo']",45267500,105952,37,String,false,None
TC_2,"[914, 409, 868, 448, 224, 591, 240, 930, 819, 198, 21, 328, 691, 118, 801, 483, 684, 473, 332, 815, 445, 107, 481, 913, 199, 198, 800, 255, 590, 230, 708, 235, 391, 971, 614, 368, 684, 774, 644, 28, 346, 748, 349, 631]",33132400,30832,44,Numeric,false,None
TC_3,"['hdfjt', 'dkolj', 'ccyzo', 'asvkc', 'wryts', 'nmccf', 'anicv', 'bmpve', 'tpicv', 'mpgue', 'doebd', 'lpepj', 'dmhzn', 'bjcxv', 'uyixw', 'lgqca', 'ukbmy', 'qvmra', 'peasf', 'vkati', 'wesso', 'bpfdg', 'iaylr', 'bvomc', 'nkcnj', 'exmen', 'usvkf', 'vagwd', 'jskrx', 'zminn']",32644300,31016,30,String,false,None
TC_4,"['bnrbb', 'shhhv', 'tykei', 'pbwib', 'vibld', 'lmxfr', 'tjsra', 'ztanf', 'mvxql', 'vilny', 'xsvko', 'tflon', 'pethl', 'rxoly', 'mtxiq', 'lrzrc', 'sfmnr', 'jhwwm', 'lquhi', 'zcuxp', 'efjrh', 'iotzg', 'kutei', 'suzot', 'yfdhr', 'aiqis', 'jypuy', 'obkiu', 'gxjwc', 'qpaov', 'eaxro', 'xpyqh', 'ymait', 'wzdau', 'hidyg', 'puynn', 'xmudw', 'trqog', 'xvlag', 'sfnqd', 'rhnnn', 'fpqlp', 'zuyow', 'gbwfv', 'ssfcc', 'iprlj']",33029400,31080,46,String,false,None
TC_5,"[548, 325, 91, 699, 567, 578, 58, 411, 270, 31, 238, 509, 66, 624, 691, 669, 119, 46, 701, 403, 577, 853, 340, 962, 533, 341, 91, 383, 230, 625, 668, 656, 427, 111, 408, 420, 369, 530, 995, 195, 351, 824, 886, 748, 180, 981, 934, 765, 880, 482, 505, 379, 925, 335, 490, 57, 55, 80, 94, 263, 259, 390, 801, 22, 865, 458, 380, 588, 591, 870, 325, 337, 73, 449, 692, 24, 601, 730, 877, 108, 385, 203, 195, 213, 162, 57, 466, 343, 603, 654, 381, 193, 823, 24, 618, 589]",36125200,31280,96,Numeric,false,None
TC_6,"['ewsrt', 'nuimb', 'xrjmv', 'vrucy', 'kkwav', 'nvfwc', 'weyso', 'eiirn', 'lalja', 'kkuoj', 'moaez', 'zrseh', 'hcbqa', 'fhewu', 'njpbs', 'dubau', 'axejs', 'skbio', 'oguon', 'ozuks', 'rfmyd', 'szomg', 'cxlzq', 'pgvsd', 'yqtot', 'dwtzc', 'tcwjh', 'enudx', 'kekeu', 'lcxjn', 'cgbeg', 'vovsx', 'xhnfn', 'bcawn', 'vxobf', 'tulfq', 'nifsz', 'kalxw', 'knhpr', 'tzerm', 'jpiiz', 'jrqdd', 'ghfrq', 'qhvyr', 'ujrqq', 'hwjrv', 'apshn', 'xpqgw', 'ordnl', 'bfomn', 'rtesd', 'iqxoj', 'dizwb', 'onfol', 'oehqq', 'otdvk', 'gnrhp', 'uoosn']",37192400,31736,58,String,false,None
TC_7,"['ffzlf', 'noypz', 'zxotn', 'gympl', 'tsugs', 'wuwbb', 'cjevw', 'xntpo', 'pfvas', 'hidrs', 'fkwei', 'eigwu', 'rqjto', 'utzvj', 'xnfnd', 'abyfi', 'hedvj', 'isfhi', 'pnnpn', 'semzp', 'umtng', 'grmgo', 'uxemi', 'nyqax', 'xvdnj', 'qnuyb', 'ijfeb', 'gkvat', 'fmqpv', 'rvukl', 'yjxtl', 'dmoaa', 'soqzb', 'ephoy', 'mgkff', 'fpfpp', 'tdxys', 'kznwz', 'ajcft', 'cdedp', 'pufew', 'dtstt', 'darli', 'dqdjy', 'qvrrg', 'rstgz', 'btcol', 'oyecl', 'vcvjy', 'wzbjk', 'fjmql', 'ufguw', 'qfejq', 'ktdlz', 'nyqsq', 'gxvqo', 'vgnvk', 'zgrqu', 'cztkm', 'jasno', 'ugsbl', 'dwgoj', 'oxgkf', 'eagyn', 'dnewe', 'qvoxv', 'hxjsg', 'hgpsu', 'jxtsp', 'togdx', 'bhngd', 'rczvp', 'mzurk', 'tamoj', 'ahwvt', 'seugv', 'akxnx', 'rhqyg', 'addwy', 'evwlt']",33830100,31416,80,String,false,None
TC_8,"[180, 95, 98, 761, 190, 358, 429, 37, 384, 321, 436, 346, 129, 152, 960, 848, 833, 232, 983, 365, 101, 331, 67, 382, 621, 926, 287, 109, 268, 488, 625, 808, 112, 714, 326, 146, 378, 654, 677, 625, 866, 828, 255, 268, 511, 370, 930, 729, 955, 193, 784, 520, 512, 842, 481, 732, 414, 274]",31853100,31128,58,Numeric,false,None
TC_9,"['sbtzr', 'nluvi', 'mhnzy', 'feivg', 'yblzv', 'pukra', 'wyqhs', 'jtdah', 'qqkly', 'qfzgu', 'dkadm', 'lduno', 'ilnml', 'mqgem', 'cnwvm', 'aakha', 'lfmhp', 'mtcdr', 'lfwjh', 'mdnhj', 'jpcjx', 'rhyhj', 'wjaln', 'qcrfw', 'nqrna', 'hyhek', 'lnrkk', 'ldgfy', 'xlzrv', 'aqjdm', 'xnuli', 'ctwtn', 'ogvzt', 'tpotg', 'zrkeo', 'xixnj', 'uulog', 'gpqqq', 'rbvme', 'slqtv', 'kineq', 'lbrze', 'qlubi', 'djtnw', 'esikv', 'dvlad', 'erqyp']",32491300,31088,47,String,false,None
TC_10,"['cfuzd', 'bwbef', 'qfjlo', 'jqsvy', 'ywucx', 'iieih', 'rkvdk', 'xfzdu', 'fopyw', 'mbpiy', 'rplri', 'uqdex', 'vvjcb', 'wjeso', 'mrtff', 'nfgou', 'aoqts', 'qlalh', 'tfpjl', 'thubt', 'pzwng', 'ivtde', 'auzmp', 'xuojq', 'dcgbf', 'kbbri', 'lbtnf', 'rtfdt', 'boqgo', 'vpkbd', 'myoko', 'osovn', 'uvwck', 'srjmd', 'xdlbb', 'zvgzt', 'kuunr', 'zajbs', 'yexrh', 'vdlqn', 'rwnxe', 'kfars', 'oqnjy', 'vrvjb', 'wukiz', 'gazgr', 'cyahr', 'yuwbb', 'ysclc', 'wqwps', 'ubewp', 'byues', 'pjgcn', 'paxfa', 'neoou', 'hcrxo', 'iamvw', 'fiveb', 'tuwzj', 'utqzs', 'dnglv', 'texsy', 'txvvj', 'gegtd', 'rjzdd', 'fzknc', 'kirof', 'ccziz', 'gwhtp', 'snfwu', 'xyial', 'mstrr', 'fhsyh', 'tjrao', 'mhgiz', 'xvxgm', 'smhdu', 'ynlzi', 'zwpjc', 'ebwtz', 'ukzoz', 'iingr', 'yufnv', 'ysuzl', 'mujos', 'lexbc']",31323000,31296,86,String,false,None
