TestID,SortedArray,TimeComplexity(ns),SpaceComplexity(bytes),ArraySize,ArrayType,SortingMethod,TestPassed,Exception,ExecutionTime
TC_1,"['teuyz', 'ekdla', 'ioiej', 'pllda', 'unsgc', 'virjp', 'mbwje', 'uacdu', 'mteru', 'rlpgs', 'auopm', 'bkuzh', 'bkcgc', 'nffic', 'akhvc', 'dneqw', 'nyrmu', 'olpfx', 'rscby', 'xcppq', 'eegtu', 'gxrex', 'obzau', 'tfaxv', 'sqctg', 'kezfo', 'nsyfg', 'zpzna', 'wglru', 'thxuy', 'hlcws', 'kpwyu', 'yucnh', 'mapla', 'cwgeq', 'qoiqq', 'lykjo']",472100,145864,37,String,sortBubbleSort,true,None,2025-02-11 16:41:51
TC_1,"['teuyz', 'ekdla', 'ioiej', 'pllda', 'unsgc', 'virjp', 'mbwje', 'uacdu', 'mteru', 'rlpgs', 'auopm', 'bkuzh', 'bkcgc', 'nffic', 'akhvc', 'dneqw', 'nyrmu', 'olpfx', 'rscby', 'xcppq', 'eegtu', 'gxrex', 'obzau', 'tfaxv', 'sqctg', 'kezfo', 'nsyfg', 'zpzna', 'wglru', 'thxuy', 'hlcws', 'kpwyu', 'yucnh', 'mapla', 'cwgeq', 'qoiqq', 'lykjo']",826800,44312,37,String,sortQuickSort,true,None,2025-02-11 16:41:51
TC_1,"['teuyz', 'ekdla', 'ioiej', 'pllda', 'unsgc', 'virjp', 'mbwje', 'uacdu', 'mteru', 'rlpgs', 'auopm', 'bkuzh', 'bkcgc', 'nffic', 'akhvc', 'dneqw', 'nyrmu', 'olpfx', 'rscby', 'xcppq', 'eegtu', 'gxrex', 'obzau', 'tfaxv', 'sqctg', 'kezfo', 'nsyfg', 'zpzna', 'wglru', 'thxuy', 'hlcws', 'kpwyu', 'yucnh', 'mapla', 'cwgeq', 'qoiqq', 'lykjo']",605300,26656,37,String,sortSelectionSort,true,None,2025-02-11 16:41:51
TC_1,"['teuyz', 'ekdla', 'ioiej', 'pllda', 'unsgc', 'virjp', 'mbwje', 'uacdu', 'mteru', 'rlpgs', 'auopm', 'bkuzh', 'bkcgc', 'nffic', 'akhvc', 'dneqw', 'nyrmu', 'olpfx', 'rscby', 'xcppq', 'eegtu', 'gxrex', 'obzau', 'tfaxv', 'sqctg', 'kezfo', 'nsyfg', 'zpzna', 'wglru', 'thxuy', 'hlcws', 'kpwyu', 'yucnh', 'mapla', 'cwgeq', 'qoiqq', 'lykjo']",277700,26656,37,String,sortInsertionSort,true,None,2025-02-11 16:41:51
TC_1,"['teuyz', 'ekdla', 'ioiej', 'pllda', 'unsgc', 'virjp', 'mbwje', 'uacdu', 'mteru', 'rlpgs', 'auopm', 'bkuzh', 'bkcgc', 'nffic', 'akhvc', 'dneqw', 'nyrmu', 'olpfx', 'rscby', 'xcppq', 'eegtu', 'gxrex', 'obzau', 'tfaxv', 'sqctg', 'kezfo', 'nsyfg', 'zpzna', 'wglru', 'thxuy', 'hlcws', 'kpwyu', 'yucnh', 'mapla', 'cwgeq', 'qoiqq', 'lykjo']",667800,26656,37,String,sortHeapSort,true,None,2025-02-11 16:41:51
TC_1,"['teuyz', 'ekdla', 'ioiej', 'pllda', 'unsgc', 'virjp', 'mbwje', 'uacdu', 'mteru', 'rlpgs', 'auopm', 'bkuzh', 'bkcgc', 'nffic', 'akhvc', 'dneqw', 'nyrmu', 'olpfx', 'rscby', 'xcppq', 'eegtu', 'gxrex', 'obzau', 'tfaxv', 'sqctg', 'kezfo', 'nsyfg', 'zpzna', 'wglru', 'thxuy', 'hlcws', 'kpwyu', 'yucnh', 'mapla', 'cwgeq', 'qoiqq', 'lykjo']",386800,26656,37,String,sortMergeSort,true,None,2025-02-11 16:41:51
TC_2,"[914, 409, 868, 448, 224, 591, 240, 930, 819, 198, 21, 328, 691, 118, 801, 483, 684, 473, 332, 815, 445, 107, 481, 913, 199, 198, 800, 255, 590, 230, 708, 235, 391, 971, 614, 368, 684, 774, 644, 28, 346, 748, 349, 631]",245800,26680,44,Numeric,sortBubbleSort,true,None,2025-02-11 16:41:51
TC_2,"[914, 409, 868, 448, 224, 591, 240, 930, 819, 198, 21, 328, 691, 118, 801, 483, 684, 473, 332, 815, 445, 107, 481, 913, 199, 198, 800, 255, 590, 230, 708, 235, 391, 971, 614, 368, 684, 774, 644, 28, 346, 748, 349, 631]",111500,26680,44,Numeric,sortQuickSort,true,None,2025-02-11 16:41:51
TC_2,"[914, 409, 868, 448, 224, 591, 240, 930, 819, 198, 21, 328, 691, 118, 801, 483, 684, 473, 332, 815, 445, 107, 481, 913, 199, 198, 800, 255, 590, 230, 708, 235, 391, 971, 614, 368, 684, 774, 644, 28, 346, 748, 349, 631]",158800,26680,44,Numeric,sortSelectionSort,true,None,2025-02-11 16:41:51
TC_2,"[914, 409, 868, 448, 224, 591, 240, 930, 819, 198, 21, 328, 691, 118, 801, 483, 684, 473, 332, 815, 445, 107, 481, 913, 199, 198, 800, 255, 590, 230, 708, 235, 391, 971, 614, 368, 684, 774, 644, 28, 346, 748, 349, 631]",126200,26680,44,Numeric,sortInsertionSort,true,None,2025-02-11 16:41:51
TC_2,"[914, 409, 868, 448, 224, 591, 240, 930, 819, 198, 21, 328, 691, 118, 801, 483, 684, 473, 332, 815, 445, 107, 481, 913, 199, 198, 800, 255, 590, 230, 708, 235, 391, 971, 614, 368, 684, 774, 644, 28, 346, 748, 349, 631]",148800,26680,44,Numeric,sortHeapSort,true,None,2025-02-11 16:41:51
TC_2,"[914, 409, 868, 448, 224, 591, 240, 930, 819, 198, 21, 328, 691, 118, 801, 483, 684, 473, 332, 815, 445, 107, 481, 913, 199, 198, 800, 255, 590, 230, 708, 235, 391, 971, 614, 368, 684, 774, 644, 28, 346, 748, 349, 631]",163100,26680,44,Numeric,sortMergeSort,true,None,2025-02-11 16:41:51
TC_3,"['hdfjt', 'dkolj', 'ccyzo', 'asvkc', 'wryts', 'nmccf', 'anicv', 'bmpve', 'tpicv', 'mpgue', 'doebd', 'lpepj', 'dmhzn', 'bjcxv', 'uyixw', 'lgqca', 'ukbmy', 'qvmra', 'peasf', 'vkati', 'wesso', 'bpfdg', 'iaylr', 'bvomc', 'nkcnj', 'exmen', 'usvkf', 'vagwd', 'jskrx', 'zminn']",163400,26624,30,String,sortBubbleSort,true,None,2025-02-11 16:41:51
